,name,selling_price,km_driven,fuel,seller_type,transmission,owner,age,company
136,Hyundai i10 Sportz 1.1L,229999,40000,Petrol,Individual,Manual,First Owner,7,Hyundai
137,Maruti 800 Std,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,24,Maruti
138,Chevrolet Spark 1.0 LS,130000,80000,Petrol,Individual,Manual,First Owner,10,Chevrolet
139,Hyundai EON Era Plus,200000,70000,Petrol,Individual,Manual,First Owner,7,Hyundai
140,Tata Indica Vista Aqua TDI BSIII,120000,70000,Diesel,Individual,Manual,First Owner,11,Tata
141,Hyundai Santro LP zipPlus,75000,57000,Petrol,Individual,Manual,First Owner,19,Hyundai
142,Tata Bolt Quadrajet XE,250000,120000,Diesel,Individual,Manual,First Owner,6,Tata
143,Maruti 800 AC BSIII,100000,30000,Petrol,Individual,Manual,First Owner,17,Maruti
144,Hyundai EON Era Plus,280000,3240,Petrol,Individual,Manual,Second Owner,9,Hyundai
145,Hyundai i20 Magna 1.2,540000,5000,Petrol,Individual,Manual,First Owner,7,Hyundai
146,Hyundai i20 1.2 Asta,700000,10000,Petrol,Individual,Manual,First Owner,4,Hyundai
147,Maruti Ciaz VDi Plus,525000,100000,Diesel,Individual,Manual,First Owner,7,Maruti
148,Hyundai i20 Asta 1.4 CRDi,430000,80000,Diesel,Individual,Manual,First Owner,6,Hyundai
149,Hyundai Santro LE,65000,70000,Petrol,Individual,Manual,First Owner,20,Hyundai
150,Maruti Vitara Brezza VDi,800000,35000,Diesel,Individual,Manual,First Owner,4,Maruti
151,Hyundai Santro Xing XL eRLX Euro III,75000,114000,Petrol,Individual,Manual,Second Owner,15,Hyundai
152,Hyundai Getz 1.3 GLS,210000,53772,Petrol,Individual,Manual,First Owner,14,Hyundai
153,Mahindra Quanto C8,195000,140000,Diesel,Individual,Manual,Second Owner,10,Mahindra
154,Chevrolet Tavera Neo 3 LS 7 C BSIII,400000,120000,Diesel,Individual,Manual,First Owner,7,Chevrolet
155,Hyundai EON Magna Plus,170000,60000,Petrol,Individual,Manual,First Owner,10,Hyundai
156,Renault KWID RXT,225000,25000,Petrol,Individual,Manual,First Owner,6,Renault
157,Maruti Wagon R DUO LPG,210000,90000,LPG,Individual,Manual,First Owner,8,Maruti
158,Maruti Wagon R LXI,240000,120000,Petrol,Individual,Manual,First Owner,2,Maruti
159,Chevrolet Enjoy 1.3 TCDi LS 8,300000,175000,Diesel,Individual,Manual,First Owner,7,Chevrolet
160,Chevrolet Spark 1.0 LS,99000,100000,Petrol,Individual,Manual,Third Owner,11,Chevrolet
161,Honda City i VTEC SV,620000,36000,Petrol,Individual,Manual,First Owner,8,Honda
162,Honda Amaze VX i-DTEC,500000,30000,Diesel,Individual,Manual,First Owner,9,Honda
163,Jaguar XJ 5.0 L V8 Supercharged,2550000,40000,Petrol,Individual,Automatic,Second Owner,12,Jaguar
164,Honda Brio E MT,260000,70000,Petrol,Individual,Manual,Second Owner,9,Honda
165,Maruti Swift VVT ZXI,550000,60000,Petrol,Individual,Manual,First Owner,5,Maruti
166,Tata Indigo CR4,150000,155500,Diesel,Individual,Manual,First Owner,11,Tata
167,Hyundai i10 Asta AT,350000,50000,Petrol,Individual,Automatic,Second Owner,11,Hyundai
168,Chevrolet Beat LT,320000,40000,Petrol,Individual,Manual,First Owner,6,Chevrolet
169,Maruti Swift VDI BSIV,400000,100000,Diesel,Individual,Manual,Third Owner,7,Maruti
170,Maruti Alto LXi,175000,80000,Petrol,Individual,Manual,Third Owner,10,Maruti
171,Chevrolet Beat LT,120000,90000,Petrol,Individual,Manual,Second Owner,11,Chevrolet
172,Renault Duster 110PS Diesel RxZ,320000,90000,Diesel,Individual,Manual,Second Owner,9,Renault
173,Hyundai Santro Xing XG,70000,110000,Petrol,Individual,Manual,Third Owner,16,Hyundai
174,Maruti Swift Dzire ZXI Plus,810000,15000,Petrol,Individual,Manual,First Owner,3,Maruti
175,Maruti 800 AC,95000,100000,Petrol,Individual,Manual,Second Owner,15,Maruti
176,Maruti Alto K10 LXI CNG,282000,40000,CNG,Individual,Manual,First Owner,2,Maruti
177,Maruti 800 Std BSII,80000,60000,Petrol,Individual,Manual,Second Owner,18,Maruti
178,Tata Nano LX SE,72000,25000,Petrol,Individual,Manual,First Owner,9,Tata
179,Hyundai i20 Magna 1.2,600000,25000,Petrol,Individual,Manual,First Owner,6,Hyundai
180,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,640000,23000,Petrol,Individual,Manual,First Owner,7,Skoda
181,Maruti Alto K10 VXI,380000,22155,Petrol,Individual,Manual,First Owner,4,Maruti
182,Maruti Ciaz 1.4 Delta,650000,70000,Petrol,Individual,Manual,First Owner,4,Maruti
183,Maruti Alto LX,150000,60000,Petrol,Individual,Manual,Second Owner,13,Maruti
184,Hyundai i20 Asta,280000,110000,Petrol,Individual,Manual,Second Owner,13,Hyundai
185,Tata Nexon 1.2 Revotron XM,430000,30000,Petrol,Individual,Manual,First Owner,4,Tata
186,Mahindra Bolero Power Plus SLX,800000,15000,Diesel,Individual,Manual,First Owner,3,Mahindra
187,Maruti Zen D,75000,100000,Diesel,Individual,Manual,Second Owner,19,Maruti
188,Volkswagen Vento Celeste 1.5 TDI Highline AT,650000,70000,Diesel,Individual,Automatic,First Owner,6,Volkswagen
189,Maruti Eeco 7 Seater Standard BSIV,390000,24000,Petrol,Individual,Manual,First Owner,5,Maruti
190,Honda City 1.5 EXI,100000,120000,Petrol,Individual,Manual,Second Owner,17,Honda
191,Mercedes-Benz New C-Class 220 CDI AT,1500000,35000,Diesel,Individual,Automatic,First Owner,9,Mercedes
192,Maruti SX4 Zxi with Leather BSIII,175000,78380,Petrol,Individual,Manual,First Owner,15,Maruti
193,Renault Duster 110PS Diesel RxZ,434999,110000,Diesel,Individual,Manual,Second Owner,10,Renault
194,Ford Figo Diesel Titanium,170000,90000,Diesel,Individual,Manual,Third Owner,12,Ford
195,Ford Figo Diesel Titanium,190000,90000,Diesel,Individual,Manual,Third Owner,11,Ford
196,Maruti Swift Dzire VDi,250000,150000,Diesel,Individual,Manual,Third Owner,13,Maruti
197,Mahindra Xylo E4,229999,230000,Diesel,Individual,Manual,Third Owner,13,Mahindra
198,Maruti Esteem Vxi - BSIII,140000,70000,Petrol,Individual,Manual,Third Owner,16,Maruti
199,Maruti Swift VDI BSIV,600000,80362,Diesel,Individual,Manual,First Owner,5,Maruti
200,Hyundai i20 1.2 Sportz,280000,110000,Petrol,Individual,Manual,Third Owner,10,Hyundai
201,Chevrolet Beat Diesel LT,150000,60000,Diesel,Individual,Manual,First Owner,10,Chevrolet
202,Chevrolet Cruze LTZ AT,650000,50000,Diesel,Individual,Automatic,First Owner,7,Chevrolet
203,Nissan Micra XL,210000,40000,Petrol,Individual,Manual,Second Owner,8,Nissan
204,BMW 5 Series 520d Luxury Line,2900000,40000,Diesel,Individual,Automatic,First Owner,5,BMW
205,Chevrolet Enjoy 1.3 TCDi LS 8,425000,20000,Diesel,Dealer,Manual,First Owner,9,Chevrolet
206,Hyundai EON Era Plus Option,265000,55000,Petrol,Dealer,Manual,First Owner,8,Hyundai
207,Fiat Linea T Jet Emotion,890000,1136,Petrol,Dealer,Manual,First Owner,4,Fiat
208,Renault Scala RxL,365000,55000,Petrol,Dealer,Manual,First Owner,9,Renault
209,Ford Figo Petrol Titanium,350000,43000,Petrol,Dealer,Manual,First Owner,8,Ford
210,Maruti Ciaz ZDi SHVS,685000,60000,Diesel,Individual,Manual,First Owner,6,Maruti
211,Skoda Rapid 1.5 TDI Ambition BSIV,940000,2650,Diesel,Dealer,Manual,First Owner,4,Skoda
212,Mahindra XUV500 W6 2WD,1000000,40000,Diesel,Individual,Manual,First Owner,5,Mahindra
213,Mahindra XUV300 W8 Option,1150000,15000,Petrol,Dealer,Manual,First Owner,3,Mahindra
214,Maruti Ertiga SHVS ZDI,450000,115962,Diesel,Individual,Manual,Second Owner,6,Maruti
215,Nissan Terrano XE D,590000,65000,Diesel,Dealer,Manual,First Owner,7,Nissan
216,Maruti S-Cross Facelift,800000,40000,Diesel,Individual,Manual,First Owner,5,Maruti
217,Hyundai i20 Magna 1.4 CRDi (Diesel),385000,58000,Diesel,Dealer,Manual,First Owner,10,Hyundai
218,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2000000,15000,Diesel,Individual,Automatic,First Owner,9,Mercedes
219,Hyundai EON Era Plus,235000,54000,Petrol,Dealer,Manual,First Owner,10,Hyundai
220,Volkswagen Ameo 1.5 TDI Highline,640000,56000,Diesel,Dealer,Manual,First Owner,5,Volkswagen
221,Maruti Alto LX,52000,120000,Petrol,Individual,Manual,Third Owner,16,Maruti
222,Maruti Omni LPG CARGO BSIII W IMMOBILISER,80000,90000,LPG,Individual,Manual,Second Owner,13,Maruti
223,Maruti Alto LX,140000,70000,Petrol,Individual,Manual,Second Owner,10,Maruti
224,Hyundai Verna i (Petrol),120000,90000,Petrol,Individual,Manual,Second Owner,14,Hyundai
225,Mahindra Renault Logan 1.5 DLS,89999,213000,Diesel,Individual,Manual,First Owner,14,Mahindra
226,Chevrolet Optra Magnum 2.0 LS BSIII,180000,120000,Diesel,Individual,Manual,First Owner,10,Chevrolet
227,Mahindra Scorpio S11 BSIV,1500000,20000,Diesel,Individual,Manual,First Owner,5,Mahindra
228,Hyundai i20 Active 1.2 SX,700000,10000,Petrol,Individual,Manual,First Owner,5,Hyundai
229,Maruti SX4 Celebration Diesel,285000,80000,Diesel,Individual,Manual,Second Owner,10,Maruti
230,Hyundai Grand i10 Magna,390000,90000,Petrol,Individual,Manual,First Owner,7,Hyundai
231,Maruti Alto LXi BSIII,125000,80000,Petrol,Individual,Manual,First Owner,14,Maruti
232,Maruti SX4 Zxi with Leather BSIII,225000,60000,Petrol,Individual,Manual,Second Owner,14,Maruti
233,Hyundai i10 Era,175000,139000,Petrol,Individual,Manual,Second Owner,11,Hyundai
234,Toyota Innova 2.5 V Diesel 7-seater,1075000,160000,Diesel,Individual,Manual,Second Owner,11,Toyota
235,Honda Mobilio V i DTEC,300000,150000,Diesel,Individual,Manual,First Owner,8,Honda
236,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,12,Toyota
237,Tata Indica V2 2001-2011 DLS BSIII,90000,120000,Diesel,Dealer,Manual,First Owner,13,Tata
238,Tata Indica Vista TDI LS,120000,120000,Diesel,Individual,Manual,Second Owner,11,Tata
239,Chevrolet Beat Diesel LS,220000,100000,Diesel,Individual,Manual,Second Owner,10,Chevrolet
240,Tata Zest Quadrajet 1.3 75PS XE,300000,140000,Diesel,Dealer,Manual,First Owner,7,Tata
241,Skoda Fabia 1.2L Diesel Ambiente,180000,87000,Diesel,Dealer,Manual,Second Owner,12,Skoda
242,Maruti 800 Std,170000,70000,Petrol,Individual,Manual,First Owner,9,Maruti
243,Ford Figo Petrol Titanium,300000,50000,Petrol,Individual,Manual,Second Owner,7,Ford
244,Toyota Innova 2.5 VX (Diesel) 8 Seater,1050000,70000,Diesel,Individual,Manual,First Owner,8,Toyota
245,Honda Mobilio V i DTEC,300000,150000,Diesel,Individual,Manual,First Owner,8,Honda
246,Hyundai Grand i10 1.2 CRDi Asta,465000,25000,Diesel,Individual,Manual,First Owner,4,Hyundai
247,Chevrolet Beat Diesel LT,130000,80000,Diesel,Individual,Manual,Second Owner,11,Chevrolet
248,Datsun GO Plus T Option Petrol,434999,10000,Petrol,Individual,Manual,First Owner,4,Datsun
249,Hyundai Grand i10 1.2 Kappa Asta,500000,32000,Petrol,Individual,Manual,First Owner,4,Hyundai
250,Maruti Omni MPI STD BSIV,200000,10000,Petrol,Individual,Manual,First Owner,4,Maruti
251,Maruti Baleno Alpha 1.2,625000,52000,Petrol,Dealer,Manual,First Owner,5,Maruti
252,Ford Fiesta Classic 1.4 SXI Duratorq,110000,120000,Diesel,Individual,Manual,Third Owner,16,Ford
253,Hyundai Elite i20 Asta Option BSIV,800000,11240,Petrol,Individual,Manual,First Owner,3,Hyundai
254,Hyundai Grand i10 CRDi Magna,490000,66000,Diesel,Dealer,Manual,First Owner,5,Hyundai
255,Maruti Ertiga SHVS ZDI,880000,64000,Diesel,Dealer,Manual,First Owner,5,Maruti
256,Hyundai Santro Xing GL Plus,290000,49000,Petrol,Individual,Manual,First Owner,9,Hyundai
257,Tata Sumo GX TC 7 Str BSIII,115999,100000,Diesel,Individual,Manual,Second Owner,16,Tata
258,Renault KWID RXT,360000,26500,Petrol,Individual,Manual,First Owner,4,Renault
259,Maruti 800 AC,65000,100000,Petrol,Individual,Manual,Second Owner,20,Maruti
260,Maruti Vitara Brezza LDi Option,685000,72000,Diesel,Dealer,Manual,First Owner,5,Maruti
261,Honda Jazz S,300000,50000,Petrol,Individual,Manual,First Owner,13,Honda
262,Hyundai i20 1.4 Sportz,680000,44000,Diesel,Dealer,Manual,First Owner,5,Hyundai
263,Maruti Ertiga SHVS ZDI Plus,1000000,60000,Diesel,Individual,Manual,Second Owner,5,Maruti
264,Tata Sumo SE Plus BSIII,100000,120000,Diesel,Individual,Manual,First Owner,20,Tata
265,Mahindra Xylo E4,160000,130000,Diesel,Individual,Manual,First Owner,12,Mahindra
266,Maruti Swift ZDi BSIV,450000,70000,Diesel,Individual,Manual,First Owner,5,Maruti
267,Maruti Ertiga VXI,600000,20000,Petrol,Individual,Manual,First Owner,8,Maruti
268,Hyundai i20 1.4 Magna ABS,180000,60000,Diesel,Individual,Manual,Second Owner,13,Hyundai
269,Maruti Alto LXi,100000,195000,Petrol,Individual,Manual,First Owner,15,Maruti
